Report_Date,J_date,Week,PUL_cases,WSU_cases,Cases
8/3/2020,216,32,0,0,0
8/4/2020,217,32,0,0,0
8/5/2020,218,32,3,1,4
8/6/2020,219,32,0,0,0
8/7/2020,220,32,0,0,0
8/8/2020,221,32,0,3,3
8/9/2020,222,32,0,0,0
8/10/2020,223,33,1,0,1
8/11/2020,224,33,0,2,2
8/12/2020,225,33,0,1,1
8/13/2020,226,33,0,1,1
8/14/2020,227,33,0,1,1
8/15/2020,228,33,0,1,1
8/16/2020,229,33,0,0,0
8/17/2020,230,34,1,1,2
8/18/2020,231,34,0,0,0
8/19/2020,232,34,0,5,5
8/20/2020,233,34,0,4,4
8/21/2020,234,34,1,29,30
8/22/2020,235,34,0,39,39
8/23/2020,236,34,0,1,1
8/24/2020,237,35,1,48,49
8/25/2020,238,35,0,40,40
8/26/2020,239,35,1,40,41
8/27/2020,240,35,0,21,21
8/28/2020,241,35,5,52,57
8/29/2020,242,35,3,60,63
8/30/2020,243,35,0,24,24
8/31/2020,244,36,6,44,50
9/1/2020,245,36,2,53,55
9/2/2020,246,36,1,37,38
9/3/2020,247,36,0,49,49
9/4/2020,248,36,0,56,56
9/5/2020,249,36,2,65,67
9/6/2020,250,36,0,6,6
9/7/2020,251,37,1,7,8
9/8/2020,252,37,3,18,21
9/9/2020,253,37,1,40,41
9/10/2020,254,37,3,58,61
9/11/2020,255,37,3,35,38
9/12/2020,256,37,0,27,27
9/13/2020,257,37,1,10,11
9/14/2020,258,38,0,13,13
9/15/2020,259,38,0,1,1
9/16/2020,260,38,4,21,25
9/17/2020,261,38,1,20,21
9/18/2020,262,38,2,20,22
9/19/2020,263,38,1,25,26
9/20/2020,264,38,2,9,11
9/21/2020,265,39,0,9,9
9/22/2020,266,39,0,4,4
9/23/2020,267,39,1,24,25
9/24/2020,268,39,1,26,27
9/25/2020,269,39,0,32,32
9/26/2020,270,39,1,23,24
9/27/2020,271,39,0,11,11
9/28/2020,272,40,0,3,3
9/29/2020,273,40,0,1,1
9/30/2020,274,40,0,21,21
10/1/2020,275,40,0,9,9
10/2/2020,276,40,0,18,18
10/3/2020,277,40,0,13,13
10/4/2020,278,40,0,6,6
10/5/2020,279,41,1,6,7
10/6/2020,280,41,0,3,3
10/7/2020,281,41,3,26,29
10/8/2020,282,41,0,15,15
10/9/2020,283,41,3,18,21
10/10/2020,284,41,2,7,9
10/11/2020,285,41,4,9,13
10/12/2020,286,42,1,7,8
10/13/2020,287,42,2,3,5
10/14/2020,288,42,7,21,28
10/15/2020,289,42,1,13,14
10/16/2020,290,42,8,15,23
10/17/2020,291,42,5,8,13
10/18/2020,292,42,9,2,11
10/19/2020,293,43,3,2,5
10/20/2020,294,43,2,0,2
10/21/2020,295,43,5,8,13
10/22/2020,296,43,3,6,9
10/23/2020,297,43,2,6,8
10/24/2020,298,43,1,7,8
10/25/2020,299,43,1,10,11
10/26/2020,300,44,1,0,1
10/27/2020,301,44,4,1,5
10/28/2020,302,44,4,2,6
10/29/2020,303,44,3,0,3
10/30/2020,304,44,1,1,2
10/31/2020,305,44,2,1,3
11/1/2020,306,44,2,2,4
11/2/2020,307,45,2,2,4
11/3/2020,308,45,2,0,2
11/4/2020,309,45,7,3,10
11/5/2020,310,45,4,3,7
11/6/2020,311,45,7,8,15
11/7/2020,312,45,8,5,13
11/8/2020,313,45,0,2,2
11/9/2020,314,46,1,0,1
11/10/2020,315,46,3,2,5
11/11/2020,316,46,9,15,24
11/12/2020,317,46,16,0,16
11/13/2020,318,46,17,0,17
11/14/2020,319,46,8,0,8
11/15/2020,320,46,8,0,8
11/16/2020,321,47,3,1,4
11/17/2020,322,47,11,3,14
11/18/2020,323,47,4,16,20
11/19/2020,324,47,9,14,23
11/20/2020,325,47,9,34,43
11/21/2020,326,47,10,18,28
11/22/2020,327,47,3,2,5
11/23/2020,328,48,1,0,1
11/24/2020,329,48,11,0,11
11/25/2020,330,48,16,0,16
11/26/2020,331,48,11,0,11
11/27/2020,332,48,5,3,8
11/28/2020,333,48,2,1,3
11/29/2020,334,48,0,2,2
11/30/2020,335,49,5,1,6
12/1/2020,336,49,6,3,9
12/2/2020,337,49,9,5,14
12/3/2020,338,49,13,0,13
12/4/2020,339,49,3,3,6
12/5/2020,340,49,5,8,13
12/6/2020,341,49,5,0,5
12/7/2020,342,50,5,4,9
12/8/2020,343,50,6,1,7
12/9/2020,344,50,5,6,11
12/10/2020,345,50,4,2,6
12/11/2020,346,50,6,6,12
12/12/2020,347,50,2,6,8
12/13/2020,348,50,4,0,4
12/14/2020,349,51,3,0,3
12/15/2020,350,51,4,1,5
12/16/2020,351,51,6,6,12
12/17/2020,352,51,9,1,10
12/18/2020,353,51,5,5,10
12/19/2020,354,51,4,3,7
12/20/2020,355,51,3,3,6
12/21/2020,356,52,2,0,2
12/22/2020,357,52,7,2,9
12/23/2020,358,52,0,1,1
12/24/2020,359,52,4,4,8
12/25/2020,360,52,2,0,2
12/26/2020,361,52,0,0,0
12/27/2020,362,52,1,0,1
